Company Name,Industry,Open_price,High_price,Low_price,Price_Range,Last_Traded_Price,Share_Volume,Value_Indian_Rupees,52 _Week_High,52 _Week_Low,365 Day Percentage Change,30 Day Percentage Change,Potential_Growth %,Risk %,Momentum_Score,Investment_Score
Vardhman Textiles Ltd.,Textiles,265.45,273.25,262.1,11.15,272.95,431463,115235138,2880,245.5,80.62,7.58,955.14,10.06,58.71,1013.85
Dhani Services Ltd.,Financial Services,37.6,37.6,34.2,3.4,35.3,20638577,751037817,242.9,28.5,79.85,28.44,588.1,19.26,64.43,652.53
Solara Active Pharma Sciences Ltd.,Healthcare,350,354.55,341,13.55,346,56960,19701324.8,1827,320,79.09,15.14,428.03,7.51,59.91,487.94
Schaeffler India Ltd.,Automobile and Auto Components,2289,2289,2250,39,2260,46062,104262718.9,9700,1598,59.35,0.44,329.2,29.29,41.68,370.88
Dilip Buildcon Ltd.,Construction,190,190.75,187.45,3.3,189.75,231621,43871333.61,749.8,187.45,66.8,16.47,295.15,1.21,51.7,346.85
Brightcom Group Ltd.,Information Technology,32.9,32.9,32.9,0,32.9,821102,27014255.8,122.88,10.73,40.27,51.17,273.5,67.39,43.54,317.04
Sequent Scientific Ltd.,Healthcare,93.55,93.55,91.2,2.35,93,625299,57690085.74,328.7,82,70.32,15.78,253.44,11.83,53.96,307.4
Hinduja Global Solutions Ltd.,Services,1075,1080.55,1050.05,30.5,1074.1,180181,193514394,3920,846,0,11.13,264.96,21.24,3.34,268.3
Indiabulls Housing Finance Ltd.,Financial Services,94.5,96.4,93.1,3.3,96.2,12436219,1174725247,297.8,90.75,63.7,19.7,209.56,5.67,50.5,260.06
Indiabulls Real Estate Ltd.,Realty,61.2,62.3,60.15,2.15,61.7,4909229,299462969,195.9,60.15,48.26,18.9,217.5,2.51,39.45,256.96
Hikal Ltd.,Healthcare,239.85,243.6,234.15,9.45,238.95,386423,92262355.48,742,212,51.31,27.67,210.53,11.28,44.22,254.74
Wockhardt Ltd.,Healthcare,206.95,208.8,205.15,3.65,207,375081,77671773.48,592,205.15,59.74,19.34,185.99,0.89,47.62,233.61
Vaibhav Global Ltd.,Consumer Services,301,306.95,287.9,19.05,303,131705,39561547.9,860,287.9,62.43,10.68,183.83,4.98,46.91,230.73
RBL Bank Ltd.,Financial Services,82.95,86.7,82.1,4.6,85.95,16258460,1376278639,226.4,74.15,60.36,25.69,163.41,13.73,49.96,213.37
Nazara Technologies Ltd.,Media Entertainment & Publication,670,676.9,638.3,38.6,649.9,302182,197974537.3,1678,475.05,55.68,44.79,158.19,26.9,52.41,210.61
Zomato Ltd.,Consumer Services,54.15,56.7,52.55,4.15,56,112078641,6193465702,169,50.05,0,27.86,201.79,10.63,8.36,210.14
H.E.G. Ltd.,Capital Goods,995.8,998.95,963.3,35.65,984.9,69104,67787568.8,2629,890.8,54.45,11.08,166.93,9.55,41.44,208.37
Lux Industries Ltd.,Textiles,1754.45,1765,1729.05,35.95,1740,15428,26888535.52,4644,1684.85,50.96,12.56,166.9,3.17,39.44,206.34
One 97 Communications Ltd.,Financial Services,672.9,675.7,652,23.7,657.7,3069693,2027839196,1955,510.05,0,3.48,197.25,22.45,1.04,198.29
Manappuram Finance Ltd.,Financial Services,84.9,89.6,83.65,5.95,88.25,13581092,1194185420,224.5,81.5,49.63,11.04,154.39,7.65,38.05,192.44
Indiamart Intermesh Ltd.,Consumer Services,3822.5,3877.4,3791.05,86.35,3818,98110,375615116.1,9710.7,3785.1,45.52,16.36,154.34,0.86,36.77,191.11
Metropolis Healthcare Ltd.,Healthcare,1400,1439.95,1397.05,42.9,1435.1,100318,142381337.4,3579.9,1378.05,50.4,12.98,149.45,3.98,39.17,188.63
Trident Ltd.,Textiles,38.65,38.8,37.65,1.15,38.2,2633568,100365276.5,70.35,16.3,136.7,18.87,84.16,57.33,101.35,185.51
